,Data,Equalizacao,Eq D-1,SAO,Efluente D-1,phEntrada D-1,phNeutralizacao D-1,phEqualizacao D-1,phAeracao D-1,OD D-1,phEntrada,phNeutralizacao,phEqualizacao,phAeracao,OD,VLodoSD30,VAeracao,VEqualizacao,DiasDescarte,Desenquadrou
148,9/26/2018,556.0,397.0,112.0,109.0,5.6,10.0,6.2,6.9,2.49,12.5,10.2,7.8,6.9,2.54,860.0,222.0,634.0,18,0
149,9/27/2018,316.0,556.0,112.0,163.0,12.5,10.2,7.8,6.9,2.54,11.4,11.0,7.8,7.0,2.6,860.0,198.0,634.0,19,0
150,9/28/2018,382.0,316.0,310.0,69.0,11.4,11.0,7.8,7.0,2.6,10.7,11.5,9.0,7.0,2.61,860.0,278.0,640.0,20,0
151,10/2/2018,621.0,302.0,191.0,205.0,9.5,8.0,6.5,7.1,2.75,11.2,13.1,10.0,7.2,2.68,870.0,254.0,634.0,23,0
152,10/3/2018,1850.0,621.0,130.0,169.0,11.2,13.1,10.0,7.2,2.68,11.5,12.0,10.5,7.4,2.81,870.0,226.0,634.0,24,0
153,10/4/2018,2053.0,1850.0,25.0,221.0,11.5,12.0,10.5,7.4,2.81,11.8,12.0,7.5,7.5,2.76,870.0,184.0,634.0,25,0
154,10/5/2018,2286.0,2053.0,184.0,106.0,11.8,12.0,7.5,7.5,2.76,12.0,12.0,8.1,7.4,2.9,860.0,232.0,638.0,26,0
155,10/9/2018,1403.0,1312.0,150.0,134.0,11.4,11.1,7.0,7.2,2.94,10.0,10.1,7.4,7.3,2.96,880.0,298.0,636.0,0,0
156,10/10/2018,1418.0,1403.0,136.0,173.0,10.0,10.1,7.4,7.3,2.96,7.6,7.0,7.3,7.2,2.61,870.0,238.0,640.0,1,0
157,10/11/2018,553.0,1418.0,69.0,155.0,7.6,7.0,7.3,7.2,2.61,6.5,4.5,6.5,7.4,2.92,880.0,668.0,646.0,2,0
158,10/13/2018,661.0,553.0,50.0,164.0,6.5,4.5,6.5,7.4,2.92,7.5,4.0,6.5,7.1,2.89,880.0,690.0,650.0,3,0
159,10/15/2018,514.0,661.0,40.0,110.0,7.5,4.0,6.5,7.1,2.89,9.4,2.0,6.5,7.0,2.95,880.0,694.0,646.0,4,0
160,10/16/2018,337.0,514.0,62.0,120.0,9.4,2.0,6.5,7.0,2.95,11.3,10.0,6.0,7.0,2.82,870.0,582.0,642.0,5,0
161,10/17/2018,421.0,337.0,49.0,204.0,11.3,10.0,6.0,7.0,2.82,9.5,10.2,6.1,6.9,2.7,860.0,456.0,642.0,6,0
162,10/18/2018,694.0,421.0,52.0,189.0,9.5,10.2,6.1,6.9,2.7,7.0,6.5,6.5,7.1,2.75,860.0,346.0,642.0,7,0
163,10/19/2018,651.0,694.0,25.0,107.0,7.0,6.5,6.5,7.1,2.75,11.7,11.0,6.5,6.9,2.9,880.0,248.0,636.0,8,0
